wzrost	waga	plec
133	28	1
139	34	0
137	30	0
141	39	1
139	33	0
128	25	0
121	29	0
116	23	1
138	36	0
138	31	1
154	42	1
124	30	1
135	36	0
120	29	1
121	21	1
125	25	1
140	43	1
120	28	0
136	33	1
133	40	1
123	24	1
121	22	0
131	34	1
129	27	1
125	27	1
147	32	1
129	32	1
146	30	1
143	34	0
122	28	0
139	30	0
136	34	0
123	27	0
129	35	1
135	34	0
137	37	1
117	30	1
121	23	0
123	33	1
144	33	1
123	26	1
124	31	1
124	28	1
136	28	1
132	30	0
135	39	1
123	26	1
119	33	0
133	31	1
113	29	0
160	47	0
145	50	1
160	55	0
141	50	0
137	50	0
150	52	1
135	49	1
148	51	1
143	50	1
149	53	1
149	38	1
145	50	1
143	50	1
157	42	1
138	34	1
141	38	1
165	58	1
132	42	1
160	45	1
145	47	1
145	49	1
145	52	0
136	44	1
168	53	1
142	50	1
148	44	1
135	45	0
155	50	0
156	63	0
155	55	1
163	57	0
167	53	1
174	65	1
156	53	1
149	52	0
154	54	1
137	42	0
164	52	0
147	45	1
158	56	0
162	48	0
148	49	1
158	47	1
142	53	1
154	52	0
156	48	0
166	54	0
151	53	1
164	61	1
142	47	0
